Website,Report Type,Average
 2021portugal.eu,Old Report,2.64
 25hourshotels.com,Old Report,2.5
 432player.com,Old Report,2.43
 5pillarsuk.com,Old Report,2.26
 9voltinteractive.com,Old Report,2
 aaai.org,Old Report,1.75
 aacai.com.au,Old Report,2.71
 abdounassur.org,Old Report,2.33
 abhisoft.net,Old Report,2.41
 abotx.org,Old Report,2.5
 acid3.acidtests.org,Old Report,2.33
 acon.org.au,Old Report,2.42
 actualite.cd,Old Report,2.91
 admission.gatech.edu,Old Report,2.75
 adv.aero,Old Report,2.37
 afsinc.org,Old Report,2.23
 agilesparks.com,Old Report,2.22
 ahotcupofjoe.net,Old Report,2.59
 ainmeanaite.scot,Old Report,2.75
 airdrieirish.com,Old Report,3
 allaladdin.ga,Old Report,2.17
 allmedia.news,Old Report,2.22
 allsummitcounty.com,Old Report,2.61
 alphabank.bg,Old Report,2.17
 amywhitney.co.uk,Old Report,2.8
 podcasters.spotify.com,Old Report,2.33
 andipopp.wordpress.com,Old Report,2.64
 andrewforoklahoma.com,Old Report,2.95
 funqai.com,Old Report,2.33
 anubis3d.com,Old Report,2.62
 app.agentsuccessapp.com,Old Report,2.46
 app.data4life.care,Old Report,2.33
 argentdata.com,Old Report,2.33
 artcodes.co.uk,Old Report,2.75
 artsdistrictla.org,Old Report,2.58
 ascobans.org,Old Report,2.49
 ascox.xyz,Old Report,2
 discussion.fedoraproject.org,Old Report,2.17
 askonasholt.com,Old Report,2.65
 asms.advitsahdev.com,Old Report,2.87
 aspen82.com,Old Report,3.18
 aspirebridge.com,Old Report,1.94
 astarmathsandphysics.com,Old Report,2.33
 astellas.com,Old Report,2.13
 atlantic.ctvnews.ca,Old Report,2.28
 avpgalaxy.net,Old Report,2.33
 awstats.sourceforge.io,Old Report,2.77
 bakupages.com,Old Report,2.6
 bankpapua.co.id,Old Report,2.56
 barristerblogger.com,Old Report,2.33
 bcexcelsior.com,Old Report,2.72
 bci.co.ck,Old Report,2.76
 begalileo.com,Old Report,1.97
 bekasikota.go.id,Old Report,3.17
 benbridge.com,Old Report,2.63
 adfree.info,Old Report,2.4
 berlinexperiences.com,Old Report,2
 bestmodernchairs.com,Old Report,2.93
 biblearchaeology.org,Old Report,2.67
 bigappleshak.com,Old Report,2.72
 bingu.net,Old Report,2.83
 bizhankook.com,Old Report,2.43
 bjri.gov.bd,Old Report,2.43
 blcklst.com,Old Report,2.18
 blog.baeke.info,Old Report,2.98
 filmsupply.com,Old Report,2.87
 blog.smile.io,Old Report,2.23
 blog.spreendigital.de,Old Report,2.71
 blowball.io,Old Report,2.09
 pbm.ucla.edu,Old Report,2.16
 bobspixels.com,Old Report,2.6
 bookup.com,Old Report,2.31
 botify.com,Old Report,2.18
 bphn.go.id,Old Report,3.28
 bonsplans,Old Report,2.12
 bramptonmasons.com,Old Report,2.75
 broadstreetmarket.org,Old Report,2.8
 bryanplummer.com,Old Report,2.76
 consent.yahoo.com,Old Report,3
 bulgaria.postsen.com,Old Report,2.55
 buy.ticketstothecity.com,Old Report,2.54
 camaradellibro.com.uy,Old Report,2.62
 canelatools.com,Old Report,3.22
 capecoral.gov,Old Report,1
 caracolu.com,Old Report,2.33
 carbonrationing.org.uk,Old Report,2.55
 catholiczhodzina.by,Old Report,2.18
 cayman.loopnews.com,Old Report,2.73
 ceafinney.com,Old Report,2.29
 chargeplacescotland.org,Old Report,2.4
 chateaudeblois.fr,Old Report,2
 chennai.consulate.gov.au,Old Report,2.29
 civity.nl,Old Report,2.27
 cleanup.org.au,Old Report,2.69
 coastalhazards.uprm.edu,Old Report,2.17
 cobo.com,Old Report,2.8
 coinsandcanada.com,Old Report,2.63
 comm.osu.edu,Old Report,3.17
 concertsinbudapest.com,Old Report,2.84
 conductortech.com,Old Report,2.54
 coconeconnect.co.jp,Old Report,2.2
 conservativenews.org,Old Report,2.65
 accounts.google.com,Old Report,2
 copypastatext.com,Old Report,2.5
 coq.inria.fr,Old Report,2.4
 corsetiere.net,Old Report,2.6
 coveringcfl.net,Old Report,2.07
 journals.sagepub.com,Old Report,3.17
 craigkeener.com,Old Report,2.89
 crocodilian.com,Old Report,2.57
 crssd.com,Old Report,2.14
 curvyyoga.com,Old Report,2.86
 d4donline.com,Old Report,3
 dashbot.io,Old Report,2.69
 davidgolding.com,Old Report,2.86
 dcchs.org,Old Report,2.44
 dcresource.com,Old Report,2.17
 dealer.olxautos.com.co,Old Report,2.46
 deepgenes.com,Old Report,2.78
 demetrimusic.com,Old Report,2.45
 designerspics.com,Old Report,2.5
 developer.payjunction.com,Old Report,2.8
 dieteticadigital.net,Old Report,2.88
 disfrutatokio.com,Old Report,2.84
 diskpart.com,Old Report,2.62
 libraries.indiana.edu,Old Report,3.8
 dmiinternational.org,Old Report,3.39
 dobanevinosti.blogspot.com,Old Report,2.49
 docs.behat.org,Old Report,2.71
 dogcastradio.com,Old Report,2.81
 dogodilose.com,Old Report,2.25
 donpedrobrooklyn.com,Old Report,2.5
 dontextraditeassange.com,Old Report,2.76
 dorianneto.com,Old Report,1
 dotolim.com,Old Report,3.25
 dou.ua,Old Report,3.08
 dozsurvival.com,Old Report,3
 drakoneditor.sourceforge.net,Old Report,3.11
 drgo.us,Old Report,2.92
 dtf.ru,Old Report,2.27
 ducugames.com,Old Report,2.78
 duplocloud.com,Old Report,2.85
 e.huawei.com,Old Report,2.26
 earthwatch.org,Old Report,2.75
 eco.int,Old Report,2.72
 econt.com,Old Report,2.6
 edfilmfest.org.uk,Old Report,2.76
 edulibrarian.com,Old Report,2.83
 ejcotopeni2022.microplustimingservices.com,Old Report,3.25
 eldalamberon.com,Old Report,2.25
 eltaxi.app,Old Report,2.72
 elteatrocampesino.com,Old Report,2.18
 embedded.lt,Old Report,2.83
 en.eghtesadonline.com,Old Report,2.66
 engineering.klarna.com,Old Report,2.79
 engineersireland.ie,Old Report,2.26
 ericksonseniorliving.com,Old Report,2.56
 ertopen.com,Old Report,2.84
 esnog.net,Old Report,2.45
 estatediamondjewelry.com,Old Report,2.12
 ettagroup.ru,Old Report,3.11
 journals.openedition.org,Old Report,2.39
 georgetown.edu,Old Report,3
 everydaybeat.org,Old Report,2.33
 eyehealthweb.com,Old Report,3.58
 familytravel.com,Old Report,2.41
 farm1.staticflickr.com,Old Report,2.29
 fddb.org,Old Report,2.94
 fhrc.huji.ac.il,Old Report,2.91
 finanswebde.com,Old Report,2.97
 flashmob.dileque.si,Old Report,2.7
 flseagrant.org,Old Report,2.41
 focusmate.com,Old Report,3.85
 folketidende.dk,Old Report,3.05
 followingtheninth.com,Old Report,2.43
 formahouse.co.uk,Old Report,2.74
 fortadpays.com,Old Report,3
 fortbendchristian.org,Old Report,2
 forwardjanesville.com,Old Report,2.36
 foxsportswest.com,Old Report,2.5
 freemodelfoundry.com,Old Report,2.78
 freshworks.com,Old Report,2.88
 frostburg.edu,Old Report,2.34
 fruitglory.com,Old Report,3
 fuldamobil.de,Old Report,2.45
 funnycide.com,Old Report,3.26
 gadaibpkbmobil.finance,Old Report,2.6
 games.ironequal.com,Old Report,2.33
 garbageplate.com,Old Report,2.4
 gen.xyz,Old Report,2.15
 genomeribbon.com,Old Report,2.38
 chef.io,Old Report,2.53
 getdetox.me,Old Report,2.71
 giftcard.cl,Old Report,2.97
 ginolabo.com,Old Report,3
 globerunner.org,Old Report,3.21
 gloubik.info,Old Report,2.64
 golistelecom.com,Old Report,2.2
 golm.org.uk,Old Report,2.72
 graceelizabeths.com,Old Report,2.37
 grainger.tngenealogy.net,Old Report,2.26
 greatriverconference.org,Old Report,2.92
 greekshadows.com,Old Report,2
 greengathering.org.uk,Old Report,2.47
 abbeyspavingsealcoating.com,Old Report,2.77
 grimsoulgame.com,Old Report,2.36
 group.canarywharf.com,Old Report,1.68
 growit,Old Report,2.61
 growveg.com,Old Report,2.81
 gudangtekno.web.id,Old Report,2.57
 guia.melhoresdestinos.com.br,Old Report,2.78
 hammacher.com,Old Report,1.81
 hanshofmann.org,Old Report,2.83
 happyfoto.de,Old Report,2.63
 harbour.github.io,Old Report,2.93
 haryanaassembly.gov.in,Old Report,2.29
 haycc.playcricket.com,Old Report,2.63
 hc.unicamp.br,Old Report,3.1
 healthrangerstore.com,Old Report,2.74
 itsupport.cs.uvic.ca,Old Report,2.17
 henan.china.com.cn,Old Report,3.08
 hgic.clemson.edu,Old Report,2.58
 hibernoenglish.com,Old Report,3
 hps.ilpartnership.org,Old Report,2.65
 hiringourheroes.org,Old Report,2.96
 historicdetroit.org,Old Report,3.5
 historicgames.com,Old Report,2.55
 historykon.pl,Old Report,2.61
 hktstarhomecall.com,Old Report,2.81
 homemaderecipes.blogspot.com,Old Report,2.73
 sps.honeywell.com,Old Report,2
 honesttopaws.com,Old Report,2.65
 hooters.com,Old Report,2.73
 hudsonvalleyjazzfest.org,Old Report,2.94
 hungerford.uk.net,Old Report,2.25
 huobi.com.ru,Old Report,2
 idonline.com,Old Report,2.63
 ia802905.us.archive.org,Old Report,1.5
 iais.org.my,Old Report,2.71
 iask.ca,Old Report,2.05
 ibme.uzh.ch,Old Report,2.67
 icaa.cc,Old Report,3.05
 ichriss.ccarh.org,Old Report,2.33
 icpc.global,Old Report,3
 id.rsqtechnologies.com,Old Report,1.5
 ilovelakemac.com,Old Report,2.4
 im.qq.com,Old Report,2.63
 impact.ref.ac.uk,Old Report,2.53
 inasfid.org,Old Report,2.93
 informath.org,Old Report,2.33
 inmos.com,Old Report,3
 insectbraindb.org,Old Report,2.98
 insideathletic.com,Old Report,2.71
 inspiredhealthmed.com,Old Report,2.54
 interboro.com,Old Report,2.87
 intouchuk.org,Old Report,1.5
 inuidea.com,Old Report,2.54
 ipsoft.ba,Old Report,2.95
 iran.outrightinternational.org,Old Report,2.68
 irishtatler.com,Old Report,2.37
 isae3402.co.uk,Old Report,3.11
 islands.scot,Old Report,2.33
 israpost.com,Old Report,2.87
 istanbulyelken.org.tr,Old Report,2.66
 isw3.naist.jp,Old Report,2.92
 itarashop.ng,Old Report,2.84
 itnewsafrica.com,Old Report,2.44
 itsconstruction.co.uk,Old Report,2.3
 ivoilic.com,Old Report,2.71
 ixpe.msfc.nasa.gov,Old Report,2.52
 janestyle.net,Old Report,2
 jeccomposites.com,Old Report,2.79
 jenniferperryman.com,Old Report,2.44
 jobs.gsk.com,Old Report,2.6
 jpit.uk,Old Report,2.07
 jp2.org,Old Report,2.31
 jssj.org,Old Report,2.65
 jufjannieapps.nl,Old Report,1.95
 juliebestry.com,Old Report,2.01
 kanjikana.com,Old Report,2
 kb.cf7skins.com,Old Report,2.6
 kellsirish.com,Old Report,2
 kellywillis.com,Old Report,2.93
 kenkouwakayama.jp,Old Report,2.56
 kevinschwantz.com,Old Report,2.25
 khanbank.com,Old Report,2.32
 kicad.org,Old Report,2
 king.myapp.com,Old Report,2.5
 kingstonbeta.com,Old Report,2.45
 kojipkgs.fedoraproject.org,Old Report,1.83
 kpopherald.koreaherald.com,Old Report,2.96
 kreditech.com,Old Report,2.55
 lahistoryarchive.org,Old Report,2.29
 lametric.com,Old Report,2.84
 lampa.cl,Old Report,2.54
 laplacem.vtcgame.vn,Old Report,2.49
 lawterlaw.com,Old Report,2.03
 lgfcu.org,Old Report,2.94
 libano.org.br,Old Report,2.25
 lifepoint.com,Old Report,2.51
 lightstation.com,Old Report,2.76
 live4.io,Old Report,3.24
 loanscalc.org,Old Report,2.6
 login.xecurify.com,Old Report,2.22
 londonwaldorf.ca,Old Report,2.29
 lorealcontentpro.com,Old Report,2.16
 lsextrusion.eu,Old Report,2.76
 lukeo.cs.illinois.edu,Old Report,2.87
 lutris.com,Old Report,4
 lynxartcollection.com,Old Report,2.1
 m.valleyevents.ca,Old Report,2.38
 macrossworld.com,Old Report,2.17
 madan.bg,Old Report,2.9
 maddiesfund.org,Old Report,2.76
 mailboxnearme.net,Old Report,2.93
 malaria.jhsph.edu,Old Report,1.79
 mannersmith.com,Old Report,3
 mappiamo.org,Old Report,2.61
 marincounty.org,Old Report,2
 marom.hu,Old Report,2.85
 martinmch.com,Old Report,2.17
 masoftware.org,Old Report,2.7
 massmedic.com,Old Report,3.19
 mateuszcholewka.com,Old Report,2.94
 math.nist.gov,Old Report,2
 maxgazze.it,Old Report,2.64
 mbqtmt.org,Old Report,1.86
 mediendenk.de,Old Report,2.33
 terryaspinall.com,Old Report,3.33
 mhikes.com,Old Report,2.44
 michiganmaple.org,Old Report,2.64
 migracion.gob.bo,Old Report,2.35
 mimsoft.com,Old Report,2.86
 minnur.com,Old Report,2
 misms.net,Old Report,2.57
 mix1043fm.com,Old Report,2.87
 mod.studio,Old Report,2.73
 modeleau.fsg.ulaval.ca,Old Report,2.41
 shopmoment.com,Old Report,3.49
 monachuslex.com,Old Report,3.01
 monacostatistics.mc,Old Report,2.8
 moonplay.online,Old Report,2.34
 moore,Old Report,3
 motorola.co.uk,Old Report,2.81
 mpeoplemusic.com,Old Report,2.93
 mrk.mk,Old Report,2.57
 mt.ro,Old Report,2.14
 munsterland.net,Old Report,3.29
 amaga.org.au,Old Report,2.8
 musicfacts.ru,Old Report,2.27
 musiconthedot.com,Old Report,2.69
 siop.org,Old Report,2.6
 napak.com,Old Report,3
 naprice.com,Old Report,2.59
 nationalsheep.org.uk,Old Report,3.25
 nattou.org,Old Report,2.6
 nesdev.org,Old Report,2.11
 newsounds.org,Old Report,2.67
 patec.org,Old Report,2.46
 newuniversity.org,Old Report,2.32
 nghenhac123.com,Old Report,2.55
 nic.xyz,Old Report,2.29
 ,,
 niguelshores.org,Old Report,2.57
 nistara.net,Old Report,3.21
 noliesradio.org,Old Report,2.32
 nooriworld.net,Old Report,2.55
 notdeadyet.org,Old Report,1.6
 ntdtv.com,Old Report,1.39
 numero.com.cn,Old Report,3.4
 nwabr.org,Old Report,2.25
 oheuropa.com,Old Report,2.51
 oostende.be,Old Report,2
 openhome.alipay.com,Old Report,2.69
 openswr.org,Old Report,3.04
 ,,
 opinion22.com.ar,Old Report,2.85
 orleansforever.com,Old Report,2.86
 ossininglibrary.org,Old Report,2.86
 christensen.asu.edu,Old Report,3.03
 ouroboros.audio,Old Report,2.78
 outhousetickets.com,Old Report,2.91
 outofthefog.net,Old Report,2.55
 ozwhitelufc.net.au,Old Report,2.6
 pramlee.com,Old Report,2.75
 pacsoa.org.au,Old Report,2
 pao.qq.com,Old Report,2.35
 paoloconte.it,Old Report,2
 pastebin.mozilla.org,Old Report,3.25
 pcpmusic.com,Old Report,2.11
 pctonline.com,Old Report,3.27
 perheyritys.fi,Old Report,2.95
 digitalesammlungen.de,Old Report,3
 phxart.org,Old Report,2.08
 piar.hu,Old Report,2.5
 pigfarmer.gr,Old Report,2.73
 ,,
 placergroup.com,Old Report,3
 planetark.org,Old Report,2.56
 gigoapp.gendagigo.jp,Old Report,2
 playfordspast.recollect.net.au,Old Report,2.81
 engagemedia.org,Old Report,2.48
 pnwphotoblog.com,Old Report,2.68
 pokergrinderapp.com,Old Report,2.33
 polyatalexei.narod.ru,Old Report,2.83
 polytopia.io,Old Report,2.47
 postakodu.ptt.gov.tr,Old Report,2.56
 postcodebyaddress.co.uk,Old Report,2.31
 pregledrs.com,Old Report,2
 premierpoms.com,Old Report,2.6
 printicular.com,Old Report,2.4
