Website,Error ID,Impact,Impact Score,Report Type
  www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,aria-hidden-focus,serious,3, Old Report
 www.2021portugal.eu,frame-title,serious,3, Old Report
 www.2021portugal.eu,frame-title,serious,3, Old Report
 www.2021portugal.eu,heading-order,moderate,2, Old Report
 www.2021portugal.eu,heading-order,moderate,2, Old Report
 www.2021portugal.eu,heading-order,moderate,2, Old Report
 www.2021portugal.eu,heading-order,moderate,2, Old Report
 www.2021portugal.eu,heading-order,moderate,2, Old Report
 www.2021portugal.eu,heading-order,moderate,2, Old Report
 www.2021portugal.eu,heading-order,moderate,2, Old Report
 www.2021portugal.eu,page-has-heading-one,moderate,2, Old Report
 www.2021portugal.eu,page-has-heading-one,moderate,2, Old Report
 www.2021portugal.eu,page-has-heading-one,moderate,2, Old Report
  www.25hours-hotels.com,aria-allowed-attr,critical,4, Old Report
 www.25hours-hotels.com,aria-input-field-name,serious,3, Old Report
 www.25hours-hotels.com,aria-input-field-name,serious,3, Old Report
 www.25hours-hotels.com,aria-input-field-name,serious,3, Old Report
 www.25hours-hotels.com,aria-input-field-name,serious,3, Old Report
 www.25hours-hotels.com,aria-required-children,critical,4, Old Report
 www.25hours-hotels.com,aria-required-children,critical,4, Old Report
 www.25hours-hotels.com,aria-required-children,critical,4, Old Report
 www.25hours-hotels.com,aria-required-children,critical,4, Old Report
 www.25hours-hotels.com,aria-valid-attr-value,critical,4, Old Report
 www.25hours-hotels.com,button-name,critical,4, Old Report
 www.25hours-hotels.com,button-name,critical,4, Old Report
 www.25hours-hotels.com,color-contrast,serious,3, Old Report
 www.25hours-hotels.com,color-contrast,serious,3, Old Report
 www.25hours-hotels.com,color-contrast,serious,3, Old Report
 www.25hours-hotels.com,duplicate-id,minor,1, Old Report
 www.25hours-hotels.com,duplicate-id,minor,1, Old Report
 www.25hours-hotels.com,duplicate-id,minor,1, Old Report
 www.25hours-hotels.com,duplicate-id,minor,1, Old Report
 www.25hours-hotels.com,duplicate-id,minor,1, Old Report
 www.25hours-hotels.com,duplicate-id,minor,1, Old Report
 www.25hours-hotels.com,duplicate-id,minor,1, Old Report
 www.25hours-hotels.com,duplicate-id,minor,1, Old Report
 www.25hours-hotels.com,duplicate-id,minor,1, Old Report
 www.25hours-hotels.com,heading-order,moderate,2, Old Report
 www.25hours-hotels.com,html-has-lang,serious,3, Old Report
 www.25hours-hotels.com,landmark-unique,moderate,2, Old Report
 www.25hours-hotels.com,landmark-unique,moderate,2, Old Report
 www.25hours-hotels.com,link-name,serious,3, Old Report
 www.25hours-hotels.com,link-name,serious,3, Old Report
 www.25hours-hotels.com,link-name,serious,3, Old Report
 www.25hours-hotels.com,link-name,serious,3, Old Report
 www.25hours-hotels.com,link-name,serious,3, Old Report
 www.25hours-hotels.com,link-name,serious,3, Old Report
 www.25hours-hotels.com,meta-viewport,critical,4, Old Report
 www.25hours-hotels.com,nested-interactive,serious,3, Old Report
 www.25hours-hotels.com,nested-interactive,serious,3, Old Report
 www.25hours-hotels.com,nested-interactive,serious,3, Old Report
 www.25hours-hotels.com,presentation-role-conflict,minor,1, Old Report
 www.25hours-hotels.com,region,moderate,2, Old Report
 www.25hours-hotels.com,region,moderate,2, Old Report
 www.25hours-hotels.com,region,moderate,2, Old Report
 www.25hours-hotels.com,region,moderate,2, Old Report
 www.25hours-hotels.com,region,moderate,2, Old Report
 www.25hours-hotels.com,region,moderate,2, Old Report
 www.25hours-hotels.com,region,moderate,2, Old Report
 www.25hours-hotels.com,region,moderate,2, Old Report
 www.25hours-hotels.com,region,moderate,2, Old Report
 www.25hours-hotels.com,region,moderate,2, Old Report
 www.25hours-hotels.com,region,moderate,2, Old Report
  www.432player.com,duplicate-id,minor,1, Old Report
 www.432player.com,heading-order,moderate,2, Old Report
 www.432player.com,heading-order,moderate,2, Old Report
 www.432player.com,link-name,serious,3, Old Report
 www.432player.com,link-name,serious,3, Old Report
 www.432player.com,link-name,serious,3, Old Report
 www.432player.com,link-name,serious,3, Old Report
  5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
 5pillarsuk.com,color-contrast,serious,3, Old Report
